Brain_Weight,Body_Weight,anomalies
3.3850,44.5000,1
0.4800,15.5000,1
1.3500,8.1000,1
465.0000,423.0000,1
36.3300,119.5000,1
27.6600,115.0000,1
14.8300,98.2000,1
1.0400,5.5000,1
4.1900,58.0000,1
0.4250,6.4000,1
0.1010,4.0000,1
0.9200,5.7000,1
1.0000,6.6000,1
0.0050,0.1400,1
0.0600,1.0000,1
3.5000,10.8000,1
2.0000,12.3000,1
1.7000,6.3000,1
2547.0000,4603.0000,-1
0.0230,0.3000,1
187.1000,419.0000,1
521.0000,655.0000,1
0.7850,3.5000,1
10.0000,115.0000,1
3.3000,25.6000,1
0.2000,5.0000,1
1.4100,17.5000,1
529.0000,680.0000,1
207.0000,406.0000,1
85.0000,325.0000,1
0.7500,12.3000,1
62.0000,1320.0000,1
6654.0000,5712.0000,-1
3.5000,3.9000,1
6.8000,179.0000,1
35.0000,56.0000,1
4.0500,17.0000,1
0.1200,1.0000,1
0.0230,0.4000,1
0.0100,0.2500,1
1.4000,12.5000,1
250.0000,490.0000,1
2.5000,12.1000,1
55.5000,175.0000,1
100.0000,157.0000,1
52.1600,440.0000,1
10.5500,179.5000,1
0.5500,2.4000,1
60.0000,81.0000,1
3.6000,21.0000,1
4.2880,39.2000,1
0.2800,1.9000,1
0.0750,1.2000,1
0.1220,3.0000,1
0.0480,0.3300,1
192.0000,180.0000,1
3.0000,25.0000,1
160.0000,169.0000,1
0.9000,2.6000,1
1.6200,11.4000,1
0.1040,2.5000,1
4.2350,50.4000,1
